flight_id,family,subtype,onset_s,restore_s,n_alert_episodes,first_alert_s,est_onset_s,onset_error_s,detected_within_60s,early_alert,false_alert
f115936881981907_gps_degrade,gps_degrade,no_fix_then_ok,32.912,57.076,1,30.0,30.0,-2.911999999999999,True,False,
f125406956954866_gps_degrade,gps_degrade,no_fix_then_ok,34.82,64.044,1,30.0,30.0,-4.82,True,False,
f137476638112559_gps_degrade,gps_degrade,no_fix_then_ok,42.48,77.308,1,37.5,37.5,-4.979999999999997,True,False,
f138645354163671_gps_degrade,gps_degrade,no_fix_then_ok,33.284,90.98,1,30.0,30.0,-3.283999999999999,True,False,
f152849246098291_gps_degrade,gps_degrade,no_fix_then_ok,33.184,65.972,4,30.0,30.0,-3.1839999999999975,True,False,
f157545489308718_gps_degrade,gps_degrade,no_fix_then_ok,45.632,74.86,1,42.5,42.5,-3.131999999999998,True,False,
f162578072652318_gps_degrade,gps_degrade,no_fix_then_ok,24.148,67.192,1,20.0,20.0,-4.148,True,False,
f179117136627038_gps_degrade,gps_degrade,no_fix_then_ok,55.156,68.836,2,52.5,52.5,-2.655999999999999,True,False,
f20260909001_nominal,nominal,none,,,5,95.0,,,,True,True
f20260909006_nominal,nominal,none,,,0,,,,,False,False
f20260909007_nominal,nominal,none,,,1,107.5,,,,True,True
f20260909013_nominal,nominal,none,,,3,100.0,,,,True,True
f20260909016_nominal,nominal,none,,,0,,,,,False,False
f20260909019_nominal,nominal,none,,,0,,,,,False,False
f20260909022_nominal,nominal,none,,,0,,,,,False,False
f20260909024_nominal,nominal,none,,,0,,,,,False,False
f20260909027_nominal,nominal,none,,,0,,,,,False,False
f20260909028_nominal,nominal,none,,,2,80.0,,,,True,True
f20260909029_nominal,nominal,none,,,5,62.5,,,,True,True
f20260909030_nominal,nominal,none,,,0,,,,,False,False
f20260909032_nominal,nominal,none,,,1,170.0,,,,True,True
f20260909035_nominal,nominal,none,,,0,,,,,False,False
f20260909040_nominal,nominal,none,,,0,,,,,False,False
f20260909041_nominal,nominal,none,,,0,,,,,False,False
f20260909044_nominal,nominal,none,,,0,,,,,False,False
f20260909049_nominal,nominal,none,,,4,122.5,,,,True,True
f20260909056_nominal,nominal,none,,,0,,,,,False,False
f20260909059_nominal,nominal,none,,,1,200.0,,,,True,True
f20260909101_spoof,spoof,drift_incoherent,40.344,,5,37.5,37.5,-2.844000000000001,True,False,
f20260909102_spoof,spoof,drift_coherent,27.904,,6,25.0,25.0,-2.904,True,False,
f20260909107_spoof,spoof,drift_incoherent,28.956,,1,27.5,27.5,-1.4559999999999995,True,False,
f20260909108_spoof,spoof,drift_incoherent,24.76,,1,22.5,22.5,-2.2600000000000016,True,False,
f20260909110_spoof,spoof,drift_coherent,40.548,,3,42.5,42.5,1.9519999999999982,True,False,
f20260909125_spoof,spoof,drift_incoherent,25.448,,1,25.0,25.0,-0.4480000000000004,True,False,
f20260909131_spoof,spoof,jump,27.728,,1,22.5,,,False,True,
f20260909132_spoof,spoof,drift_coherent,23.26,,1,117.5,117.5,94.24,False,False,
f20260909133_spoof,spoof,drift_coherent,48.752,,5,45.0,45.0,-3.7520000000000024,True,False,
f20260909134_spoof,spoof,jump,29.12,,2,25.0,25.0,-4.120000000000001,True,False,
f20260909137_spoof,spoof,jump,52.968,,1,50.0,50.0,-2.9680000000000035,True,False,
f20260909138_spoof,spoof,jump,22.22,,2,17.5,17.5,-4.719999999999999,True,False,
f20260909140_spoof,spoof,drift_incoherent,22.092,,2,20.0,20.0,-2.0919999999999987,True,False,
f20260909144_spoof,spoof,drift_coherent,52.28,,5,50.0,50.0,-2.280000000000001,True,False,
f20260909147_spoof,spoof,drift_coherent,33.528,,3,30.0,30.0,-3.5279999999999987,True,False,
f20260909150_spoof,spoof,drift_coherent,31.052,,6,50.0,50.0,18.948,True,False,
f20260909155_spoof,spoof,drift_coherent,51.436,,4,47.5,47.5,-3.936,True,False,
f20260909156_spoof,spoof,jump,45.856,,2,42.5,42.5,-3.3560000000000016,True,False,
f20260909158_spoof,spoof,drift_incoherent,30.476,,1,27.5,27.5,-2.975999999999999,True,False,
f20260909159_spoof,spoof,drift_incoherent,28.104,,1,25.0,25.0,-3.103999999999999,True,False,
f20260909203_gps_degrade,gps_degrade,off_then_ok,43.696,77.836,4,40.0,40.0,-3.695999999999998,True,False,
f20260909205_gps_degrade,gps_degrade,stuck_then_ok,67.008,96.212,1,62.5,62.5,-4.507999999999996,True,False,
f20260909211_gps_degrade,gps_degrade,stuck_then_ok,35.92,73.936,1,32.5,32.5,-3.4200000000000017,True,False,
f20260909212_gps_degrade,gps_degrade,off_then_ok,28.424,66.88,4,25.0,25.0,-3.4239999999999995,True,False,
f20260909213_gps_degrade,gps_degrade,off_then_ok,29.836,50.54,4,27.5,27.5,-2.3359999999999985,True,False,
f20260909215_gps_degrade,gps_degrade,off_then_ok,57.496,87.152,5,55.0,55.0,-2.496000000000002,True,False,
f20260909216_gps_degrade,gps_degrade,off_then_ok,48.992,75.592,1,45.0,45.0,-3.9919999999999973,True,False,
f20260909217_gps_degrade,gps_degrade,stuck_then_ok,43.24,75.42,5,40.0,40.0,-3.240000000000002,True,False,
f20260909218_gps_degrade,gps_degrade,off_then_ok,46.648,89.908,2,42.5,42.5,-4.148000000000003,True,False,
f20260909219_gps_degrade,gps_degrade,off_then_ok,51.892,67.276,1,50.0,50.0,-1.892000000000003,True,False,
f20260909220_gps_degrade,gps_degrade,off_then_ok,55.488,86.28,4,42.5,117.5,62.012,False,True,
f20260909222_gps_degrade,gps_degrade,stuck_then_ok,39.836,62.412,3,37.5,37.5,-2.3359999999999985,True,False,
f20260909224_gps_degrade,gps_degrade,off_then_ok,30.9,51.664,1,27.5,27.5,-3.3999999999999986,True,False,
f20260909225_gps_degrade,gps_degrade,off_then_ok,33.788,57.576,1,30.0,30.0,-3.7879999999999967,True,False,
f20260909226_gps_degrade,gps_degrade,stuck_then_ok,33.876,52.944,4,30.0,30.0,-3.8759999999999977,True,False,
f20260909227_gps_degrade,gps_degrade,stuck_then_ok,25.34,51.448,3,25.0,25.0,-0.33999999999999986,True,False,
f20260909228_gps_degrade,gps_degrade,stuck_then_ok,26.64,56.28,6,25.0,25.0,-1.6400000000000006,True,False,
f20260909230_gps_degrade,gps_degrade,stuck_then_ok,49.3,90.988,2,45.0,45.0,-4.299999999999997,True,False,
f20260909231_gps_degrade,gps_degrade,off_then_ok,25.368,57.452,1,22.5,22.5,-2.8679999999999986,True,False,
f20260909234_gps_degrade,gps_degrade,off_then_ok,61.556,80.752,6,52.5,97.5,35.944,True,True,
f20260909236_gps_degrade,gps_degrade,off_then_ok,54.208,72.34,5,37.5,82.5,28.292,True,True,
f20260909240_gps_degrade,gps_degrade,off_then_ok,28.5,58.2,6,25.0,25.0,-3.5,True,False,
f20260909241_gps_degrade,gps_degrade,stuck_then_ok,29.68,60.3,3,27.5,27.5,-2.1799999999999997,True,False,
f20260909245_gps_degrade,gps_degrade,off_then_ok,36.64,58.816,3,35.0,35.0,-1.6400000000000006,True,False,
f20260909246_gps_degrade,gps_degrade,stuck_then_ok,36.444,73.976,1,35.0,35.0,-1.4440000000000026,True,False,
f20260909248_gps_degrade,gps_degrade,stuck_then_ok,23.12,54.952,2,22.5,22.5,-0.620000000000001,True,False,
f20260909250_gps_degrade,gps_degrade,stuck_then_ok,45.332,73.416,1,42.5,42.5,-2.8320000000000007,True,False,
f20260909251_gps_degrade,gps_degrade,stuck_then_ok,32.54,66.344,4,30.0,30.0,-2.539999999999999,True,False,
f20260909252_gps_degrade,gps_degrade,stuck_then_ok,43.888,69.22,1,40.0,40.0,-3.887999999999998,True,False,
f20260909253_gps_degrade,gps_degrade,off_then_ok,38.164,54.396,1,35.0,35.0,-3.1640000000000015,True,False,
f20260909256_gps_degrade,gps_degrade,stuck_then_ok,49.28,63.812,1,45.0,45.0,-4.280000000000001,True,False,
f20260909257_gps_degrade,gps_degrade,stuck_then_ok,37.656,55.916,4,35.0,35.0,-2.655999999999999,True,False,
f20260909258_gps_degrade,gps_degrade,stuck_then_ok,48.776,78.136,6,45.0,45.0,-3.7760000000000034,True,False,
f20260909300_sensor_fault,sensor_fault,mag_stuck,24.308,38.472,3,20.0,20.0,-4.308,True,False,
f20260909301_sensor_fault,sensor_fault,baro_stuck,28.444,67.052,2,27.5,27.5,-0.9439999999999991,True,False,
f20260909304_sensor_fault,sensor_fault,baro_stuck,65.588,107.32,1,65.0,65.0,-0.5879999999999939,True,False,
f20260909307_sensor_fault,sensor_fault,mag_stuck,36.972,59.492,3,35.0,35.0,-1.9720000000000013,True,False,
f20260909313_sensor_fault,sensor_fault,mag_stuck,52.428,66.752,2,52.5,52.5,0.07200000000000273,True,False,
f20260909317_sensor_fault,sensor_fault,baro_stuck,35.368,46.86,2,35.0,35.0,-0.3680000000000021,True,False,
f20260909321_sensor_fault,sensor_fault,mag_stuck,25.18,66.104,2,27.5,27.5,2.3200000000000003,True,False,
f20260909323_sensor_fault,sensor_fault,mag_stuck,31.432,68.576,1,27.5,27.5,-3.9319999999999986,True,False,
f20260909325_sensor_fault,sensor_fault,baro_stuck,26.344,57.712,3,25.0,25.0,-1.3440000000000012,True,False,
f20260909326_sensor_fault,sensor_fault,mag_stuck,31.224,68.868,1,32.5,32.5,1.2759999999999998,True,False,
f20260909328_sensor_fault,sensor_fault,baro_stuck,43.86,69.084,6,42.5,42.5,-1.3599999999999994,True,False,
f20260909331_sensor_fault,sensor_fault,mag_stuck,48.68,67.216,2,50.0,50.0,1.3200000000000003,True,False,
f20260909337_sensor_fault,sensor_fault,baro_stuck,53.484,96.6,1,52.5,52.5,-0.9840000000000018,True,False,
f20260909340_sensor_fault,sensor_fault,mag_stuck,53.888,82.252,1,52.5,52.5,-1.3879999999999981,True,False,
f20260909341_sensor_fault,sensor_fault,mag_stuck,32.628,69.9,2,30.0,30.0,-2.628,True,False,
f20260909344_sensor_fault,sensor_fault,mag_stuck,29.66,52.784,1,35.0,35.0,5.34,True,False,
f20260909347_sensor_fault,sensor_fault,mag_stuck,43.508,81.5,1,45.0,45.0,1.4919999999999973,True,False,
f20260909348_sensor_fault,sensor_fault,mag_stuck,30.636,43.472,2,27.5,27.5,-3.1359999999999992,True,False,
f20260909349_sensor_fault,sensor_fault,mag_stuck,44.88,63.944,2,47.5,47.5,2.6199999999999974,True,False,
f20260909357_sensor_fault,sensor_fault,baro_stuck,27.7,59.628,1,27.5,27.5,-0.1999999999999993,True,False,
f214099286138893_gps_degrade,gps_degrade,no_fix_then_ok,47.184,69.204,3,45.0,45.0,-2.1839999999999975,True,False,
f251496856152582_gps_degrade,gps_degrade,no_fix_then_ok,36.32,80.088,1,32.5,32.5,-3.8200000000000003,True,False,
f267926232552533_gps_degrade,gps_degrade,no_fix_then_ok,22.284,54.108,2,20.0,20.0,-2.283999999999999,True,False,
f272722099923160_gps_degrade,gps_degrade,no_fix_then_ok,54.656,70.508,6,40.0,50.0,-4.655999999999999,True,True,
f38329162600154_gps_degrade,gps_degrade,no_fix_then_ok,35.268,73.712,1,32.5,32.5,-2.7680000000000007,True,False,
f45889653030206_gps_degrade,gps_degrade,no_fix_then_ok,43.244,78.14,1,40.0,40.0,-3.2439999999999998,True,False,
